year,state,id,value
2015,Alabama,Varroa mites,10
2015,Alabama,Other pests/parasites,5.4
2015,Alabama,Pesticides,2.2
2015,Alabama,Other,9.1
2015,Alabama,Unknown,9.4
2015,Arizona,Varroa mites,26.9
2015,Arizona,Other pests/parasites,20.5
2015,Arizona,Disesases,0.1
2015,Arizona,Other,1.8
2015,Arizona,Unknown,3.1
2015,Arkansas,Varroa mites,17.6
2015,Arkansas,Other pests/parasites,11.4
2015,Arkansas,Disesases,1.5
2015,Arkansas,Pesticides,3.4
2015,Arkansas,Other,1
2015,Arkansas,Unknown,1
2015,California,Varroa mites,24.7
2015,California,Other pests/parasites,7.2
2015,California,Disesases,3
2015,California,Pesticides,7.5
2015,California,Other,6.5
2015,California,Unknown,2.8
2015,Colorado,Varroa mites,14.6
2015,Colorado,Other pests/parasites,0.9
2015,Colorado,Disesases,1.8
2015,Colorado,Pesticides,0.6
2015,Colorado,Other,2.6
2015,Colorado,Unknown,5.9
2015,Connecticut,Varroa mites,2.5
2015,Connecticut,Other pests/parasites,1.4
2015,Connecticut,Other,21.2
2015,Connecticut,Unknown,2.4
2015,Florida,Varroa mites,22.3
2015,Florida,Other pests/parasites,13.5
2015,Florida,Disesases,0.8
2015,Florida,Pesticides,8.9
2015,Florida,Other,5.1
2015,Florida,Unknown,4.4
2015,Georgia,Varroa mites,6.2
2015,Georgia,Other pests/parasites,4.9
2015,Georgia,Disesases,3.3
2015,Georgia,Pesticides,2.6
2015,Georgia,Other,4.8
2015,Georgia,Unknown,10.5
2015,Hawaii,Varroa mites,38.8
2015,Hawaii,Other pests/parasites,37.7
2015,Hawaii,Disesases,1.6
2015,Hawaii,Other,2
2015,Idaho,Varroa mites,39.8
2015,Idaho,Other pests/parasites,6.7
2015,Idaho,Disesases,12.5
2015,Idaho,Pesticides,4.8
2015,Idaho,Other,8.9
2015,Idaho,Unknown,4.9
2015,Illinois,Varroa mites,12.3
2015,Illinois,Other pests/parasites,6.9
2015,Illinois,Disesases,0.7
2015,Illinois,Pesticides,0.4
2015,Illinois,Other,12.6
2015,Illinois,Unknown,11.6
2015,Indiana,Varroa mites,20.7
2015,Indiana,Other pests/parasites,0.3
2015,Indiana,Disesases,0.2
2015,Indiana,Pesticides,0.3
2015,Indiana,Other,22.3
2015,Indiana,Unknown,11.7
2015,Iowa,Varroa mites,26
2015,Iowa,Other pests/parasites,0.7
2015,Iowa,Disesases,4.6
2015,Iowa,Pesticides,3.4
2015,Iowa,Other,18
2015,Iowa,Unknown,3.4
2015,Kansas,Varroa mites,32.7
2015,Kansas,Other pests/parasites,1.3
2015,Kansas,Disesases,1.1
2015,Kansas,Pesticides,14.2
2015,Kansas,Other,9.5
2015,Kansas,Unknown,3.4
2015,Kentucky,Varroa mites,10.8
2015,Kentucky,Other pests/parasites,10.7
2015,Kentucky,Disesases,2.5
2015,Kentucky,Pesticides,2.5
2015,Kentucky,Other,22.7
2015,Kentucky,Unknown,12.9
2015,Louisiana,Varroa mites,17.2
2015,Louisiana,Other pests/parasites,4.7
2015,Louisiana,Disesases,4.3
2015,Louisiana,Pesticides,1.7
2015,Louisiana,Other,3.1
2015,Louisiana,Unknown,2.1
2015,Maine,Varroa mites,4.4
2015,Maine,Other pests/parasites,0.1
2015,Maine,Other,7.5
2015,Maine,Unknown,1.9
2015,Maryland,Varroa mites,10.1
2015,Maryland,Other pests/parasites,1.8
2015,Maryland,Disesases,0.4
2015,Maryland,Other,24.2
2015,Maryland,Unknown,12.4
2015,Massachusetts,Varroa mites,23.5
2015,Massachusetts,Other pests/parasites,3.5
2015,Massachusetts,Disesases,2.1
2015,Massachusetts,Pesticides,2.8
2015,Massachusetts,Other,7.6
