year,state,id,value
2021,Alabama,Varroa mites,52.2
2021,Alabama,Other pests/parasites,30.3
2021,Alabama,Other,3.1
2021,Alabama,Unknown,4
2021,Arizona,Varroa mites,4.6
2021,Arizona,Other pests/parasites,5.9
2021,Arizona,Disesases,5.9
2021,Arizona,Other,0.5
2021,Arizona,Unknown,4.2
2021,Arkansas,Varroa mites,28.5
2021,Arkansas,Other pests/parasites,19.6
2021,Arkansas,Pesticides,14.2
2021,Arkansas,Other,3.8
2021,Arkansas,Unknown,2.6
2021,California,Varroa mites,29.9
2021,California,Other pests/parasites,5.7
2021,California,Disesases,1.7
2021,California,Pesticides,7.2
2021,California,Other,6.2
2021,California,Unknown,3.4
2021,Colorado,Varroa mites,2.1
2021,Colorado,Other,1.1
2021,Colorado,Unknown,7.8
2021,Connecticut,Varroa mites,17.8
2021,Connecticut,Other pests/parasites,3.5
2021,Connecticut,Pesticides,0.5
2021,Connecticut,Other,1.6
2021,Connecticut,Unknown,1
2021,Florida,Varroa mites,34.7
2021,Florida,Other pests/parasites,11.9
2021,Florida,Disesases,5.6
2021,Florida,Pesticides,6.6
2021,Florida,Other,6.3
2021,Florida,Unknown,3.4
2021,Georgia,Varroa mites,47.9
2021,Georgia,Other pests/parasites,14.4
2021,Georgia,Disesases,8.9
2021,Georgia,Pesticides,1.5
2021,Georgia,Other,4.1
2021,Georgia,Unknown,4.6
2021,Hawaii,Varroa mites,49
2021,Hawaii,Other pests/parasites,52.2
2021,Hawaii,Other,4.7
2021,Idaho,Varroa mites,33.3
2021,Idaho,Other pests/parasites,10.7
2021,Idaho,Pesticides,9.5
2021,Idaho,Other,1.8
2021,Idaho,Unknown,1.7
2021,Illinois,Varroa mites,28.8
2021,Illinois,Other pests/parasites,12.9
2021,Illinois,Disesases,1.6
2021,Illinois,Pesticides,1.3
2021,Illinois,Other,17.9
2021,Illinois,Unknown,9.4
2021,Indiana,Varroa mites,34.4
2021,Indiana,Other pests/parasites,5.4
2021,Indiana,Pesticides,0.7
2021,Indiana,Other,4.8
2021,Indiana,Unknown,4.5
2021,Iowa,Varroa mites,18.9
2021,Iowa,Other pests/parasites,0.7
2021,Iowa,Pesticides,3.7
2021,Iowa,Other,7.8
2021,Iowa,Unknown,3.8
2021,Kansas,Varroa mites,25.7
2021,Kansas,Other pests/parasites,2.8
2021,Kansas,Other,19.1
2021,Kansas,Unknown,2.2
2021,Kentucky,Varroa mites,27.5
2021,Kentucky,Other pests/parasites,16.9
2021,Kentucky,Other,5.1
2021,Kentucky,Unknown,9.3
2021,Louisiana,Varroa mites,61.4
2021,Louisiana,Other pests/parasites,8.5
2021,Louisiana,Pesticides,1.6
2021,Louisiana,Other,8.2
2021,Louisiana,Unknown,0.9
2021,Maine,Varroa mites,7.2
2021,Maine,Other pests/parasites,2.6
2021,Maine,Other,2.2
2021,Maine,Unknown,2.1
2021,Maryland,Varroa mites,34.6
2021,Maryland,Other pests/parasites,1.1
2021,Maryland,Other,19.7
2021,Maryland,Unknown,2.7
2021,Massachusetts,Varroa mites,28.9
2021,Massachusetts,Other pests/parasites,3.6
2021,Massachusetts,Disesases,1
2021,Massachusetts,Pesticides,0.5
2021,Massachusetts,Other,7.8
2021,Massachusetts,Unknown,4.5
2021,Michigan,Varroa mites,2.3
2021,Michigan,Other,0.7
2021,Michigan,Unknown,1.6
2021,Minnesota,Varroa mites,6.3
2021,Minnesota,Other pests/parasites,0.6
2021,Minnesota,Pesticides,2.5
2021,Minnesota,Other,2.8
2021,Mississippi,Varroa mites,9.7
2021,Mississippi,Other pests/parasites,3.8
2021,Mississippi,Pesticides,1
2021,Mississippi,Other,10.6
2021,Mississippi,Unknown,4.7
2021,Missouri,Varroa mites,16.6
2021,Missouri,Other pests/parasites,5.6
2021,Missouri,Pesticides,0.8
2021,Missouri,Other,13.1
2021,Missouri,Unknown,10.3
2021,Nebraska,Pesticides,1.5
2021,Nebraska,Other,1.7
2021,Nebraska,Unknown,0.7
2021,New Jersey,Varroa mites,18.7
2021,New Jersey,Other pests/parasites,1.5
2021,New Jersey,Disesases,1
2021,New Jersey,Pesticides,1.3
2021,New Jersey,Other,1.2
2021,New Jersey,Unknown,0.8
2021,New Mexico,Varroa mites,14.2
2021,New Mexico,Other pests/parasites,0.1
2021,New Mexico,Other,6.5
2021,New Mexico,Unknown,1.9
2021,New York,Varroa mites,15
2021,New York,Other pests/parasites,3.9
2021,New York,Disesases,0.6
2021,New York,Pesticides,0.5
2021,New York,Other,5.7
2021,New York,Unknown,4.8
2021,North Carolina,Varroa mites,23.7
2021,North Carolina,Other pests/parasites,7.3
2021,North Carolina,Other,0.6
2021,North Carolina,Unknown,0.5
2021,Ohio,Varroa mites,26.6
2021,Ohio,Other pests/parasites,14.4
2021,Ohio,Disesases,2.9
2021,Ohio,Pesticides,2
2021,Ohio,Other,8.2
2021,Ohio,Unknown,4.9
2021,Oklahoma,Varroa mites,7.6
2021,Oklahoma,Other,4.2
2021,Oklahoma,Unknown,2
2021,Oregon,Varroa mites,12.9
2021,Oregon,Other pests/parasites,10.7
2021,Oregon,Disesases,1.4
2021,Oregon,Other,1.2
2021,Oregon,Unknown,0.6
2021,Pennsylvania,Varroa mites,18.1
2021,Pennsylvania,Other pests/parasites,11.6
2021,Pennsylvania,Other,6.8
2021,Pennsylvania,Unknown,8.2
2021,South Carolina,Varroa mites,48.5
2021,South Carolina,Other pests/parasites,10.1
2021,South Carolina,Pesticides,3.2
2021,South Carolina,Other,4.1
2021,South Carolina,Unknown,0.9
2021,South Dakota,Varroa mites,8.6
2021,South Dakota,Unknown,0.8
2021,Tennessee,Varroa mites,34.4
2021,Tennessee,Other pests/parasites,5.2
2021,Tennessee,Disesases,1.4
2021,Tennessee,Pesticides,0.8
2021,Tennessee,Other,2.6
2021,Tennessee,Unknown,8.9
2021,Texas,Varroa mites,18.5
2021,Texas,Other pests/parasites,13.8
2021,Texas,Disesases,1.6
2021,Texas,Pesticides,6
2021,Texas,Other,7.7
2021,Utah,Varroa mites,45.4
2021,Utah,Other pests/parasites,0.9
2021,Utah,Pesticides,2.4
2021,Utah,Other,1
2021,Utah,Unknown,11.2
2021,Vermont,Varroa mites,21.1
2021,Vermont,Disesases,3.7
2021,Vermont,Other,10.1
2021,Virginia,Varroa mites,11.9
2021,Virginia,Other pests/parasites,1
2021,Virginia,Pesticides,1.9
2021,Virginia,Other,3.9
2021,Virginia,Unknown,4.9
2021,Washington,Varroa mites,15.5
2021,Washington,Other pests/parasites,2.4
2021,Washington,Disesases,1
2021,Washington,Other,5.3
2021,West Virginia,Varroa mites,13.7
2021,West Virginia,Other pests/parasites,3.4
2021,West Virginia,Disesases,0.7
2021,West Virginia,Pesticides,2.6
2021,West Virginia,Other,1.2
2021,West Virginia,Unknown,3.3
2021,Wisconsin,Varroa mites,16.1
2021,Wisconsin,Other,3.6
2021,Wisconsin,Unknown,3.2
2021,Wyoming,Other,3.3
2021,Wyoming,Unknown,7.9
2021,Other States,Varroa mites,19.4
2021,Other States,Other pests/parasites,1.2
2021,Other States,Disesases,4.1
2021,Other States,Other,6.8
2021,Other States,Unknown,1.1
2021,United States,Varroa mites,31.3
2021,United States,Other pests/parasites,8.8
2021,United States,Disesases,2.2
2021,United States,Pesticides,6.3
2021,United States,Other,6.5
2021,United States,Unknown,3.3
2021,Alabama,Varroa mites,55.2
2021,Alabama,Other pests/parasites,45
2021,Alabama,Disesases,0.5
2021,Alabama,Pesticides,2.1
2021,Alabama,Other,5.8
2021,Alabama,Unknown,26
2021,Arizona,Varroa mites,6.4
2021,Arizona,Disesases,3.6
2021,Arizona,Pesticides,1.2
2021,Arizona,Other,7.1
2021,Arizona,Unknown,6.9
2021,Arkansas,Varroa mites,44
2021,Arkansas,Other pests/parasites,23
2021,Arkansas,Disesases,5.9
2021,Arkansas,Pesticides,2.9
2021,Arkansas,Other,2.1
2021,Arkansas,Unknown,3.7
2021,California,Varroa mites,42.4
2021,California,Other pests/parasites,11.5
2021,California,Disesases,7.7
2021,California,Pesticides,16.1
2021,California,Other,11.6
2021,California,Unknown,3.8
2021,Colorado,Varroa mites,47.6
2021,Colorado,Unknown,3.3
2021,Connecticut,Varroa mites,16
2021,Connecticut,Other pests/parasites,0.7
2021,Connecticut,Disesases,0.1
2021,Connecticut,Other,1.2
2021,Florida,Varroa mites,43.3
2021,Florida,Other pests/parasites,22.8
2021,Florida,Disesases,4.3
2021,Florida,Pesticides,10.2
2021,Florida,Other,6.3
2021,Florida,Unknown,7.7
2021,Georgia,Varroa mites,44.5
2021,Georgia,Other pests/parasites,13.7
2021,Georgia,Disesases,5.2
2021,Georgia,Pesticides,2.8
2021,Georgia,Other,5.2
2021,Georgia,Unknown,5.8
2021,Hawaii,Varroa mites,93.3
2021,Hawaii,Other pests/parasites,65.3
2021,Idaho,Varroa mites,31.9
2021,Idaho,Other pests/parasites,1.9
2021,Idaho,Disesases,5.4
2021,Idaho,Pesticides,9.9
